"No.","Time","Source","Destination","Protocol","Length","Info"
"4810","12.393010","35.217.37.16","192.168.3.2","UDP","396","50004  >  63452 Len=354"
"4811","12.407254","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","242","50002  >  63328 Len=200 (SendTTL=30, Round=164)"
"4812","12.410722","35.217.37.16","192.168.3.2","UDP","418","50004  >  63452 Len=376"
"4813","12.412657","107.161.154.161","192.168.3.2","TCP","671","25941  >  55851 [PSH, ACK] Seq=63097 Ack=1117 Win=774 Len=617"
"4814","12.412725","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1117 Ack=63714 Win=1025 Len=0"
"4815","12.417844","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1117 Ack=63714 Win=1025 Len=3"
"4816","12.419730","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1120 Ack=63714 Win=1025 Len=3"
"4817","12.427884","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","234","50002  >  63328 Len=192 (SendTTL=30, Round=164)"
"4818","12.430651","35.217.37.16","192.168.3.2","UDP","416","50004  >  63452 Len=374"
"4819","12.447353","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","234","50002  >  63328 Len=192 (SendTTL=30, Round=164)"
"4820","12.451234","35.217.37.16","192.168.3.2","UDP","385","50004  >  63452 Len=343"
"4821","12.459975","107.161.154.161","192.168.3.2","TCP","361","25941  >  55851 [PSH, ACK] Seq=63714 Ack=1117 Win=774 Len=307"
"4822","12.467195","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","241","50002  >  63328 Len=199 (SendTTL=30, Round=164)"
"4823","12.470658","35.217.37.16","192.168.3.2","UDP","354","50004  >  63452 Len=312"
"4824","12.471231","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=64021 Ack=1123 Win=774 Len=0"
"4825","12.487653","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","255","50002  >  63328 Len=213 (SendTTL=30, Round=164)"
"4826","12.490272","35.217.37.16","192.168.3.2","UDP","413","50004  >  63452 Len=371"
"4827","12.505704","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1123 Ack=64021 Win=1024 Len=0"
"4828","12.507662","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","257","50002  >  63328 Len=215 (SendTTL=30, Round=164)"
"4829","12.511193","107.161.154.161","192.168.3.2","TCP","221","25941  >  55851 [PSH, ACK] Seq=64021 Ack=1123 Win=774 Len=167"
"4830","12.512258","35.217.37.16","192.168.3.2","UDP","451","50004  >  63452 Len=409"
"4831","12.514683","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1123 Ack=64188 Win=1024 Len=3"
"4832","12.516500","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1126 Ack=64188 Win=1024 Len=3"
"4833","12.526932","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","240","50002  >  63328 Len=198 (SendTTL=30, Round=164)"
"4834","12.531720","35.217.37.16","192.168.3.2","UDP","446","50004  >  63452 Len=404"
"4835","12.547627","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","252","50002  >  63328 Len=210 (SendTTL=30, Round=164)"
"4836","12.551921","35.217.37.16","192.168.3.2","UDP","402","50004  >  63452 Len=360"
"4837","12.562188","107.161.154.161","192.168.3.2","TCP","447","25941  >  55851 [PSH, ACK] Seq=64188 Ack=1123 Win=774 Len=393"
"4838","12.567556","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","259","50002  >  63328 Len=217 (SendTTL=30, Round=164)"
"4839","12.567556","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=64581 Ack=1129 Win=774 Len=0"
"4840","12.571985","35.217.37.16","192.168.3.2","UDP","391","50004  >  63452 Len=349"
"4841","12.587665","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","249","50002  >  63328 Len=207 (SendTTL=30, Round=164)"
"4842","12.590234","185.73.194.117","192.168.3.2","TLSv1.2","93","Application Data"
"4843","12.590234","185.73.194.117","192.168.3.2","TLSv1.2","78","Application Data"
"4844","12.590254","192.168.3.2","185.73.194.117","TCP","54","56172  >  443 [ACK] Seq=1 Ack=64 Win=1025 Len=0"
"4845","12.590349","185.73.194.117","192.168.3.2","TCP","60","443  >  56172 [FIN, ACK] Seq=64 Ack=1 Win=501 Len=0"
"4846","12.590420","192.168.3.2","185.73.194.117","TCP","54","56172  >  443 [ACK] Seq=1 Ack=65 Win=1025 Len=0"
"4847","12.592560","35.217.37.16","192.168.3.2","UDP","394","50004  >  63452 Len=352"
